protocol,version,blockchain,address,min_block_number
uniswap,4,arbitrum,0x360e68faccca8ca495c1b759fd9eee466db9fb32,298076243
uniswap,4,polygon,0x67366782805870060151383f4bbff9dab53e5cd6,67012640
uniswap,4,blast,0x1631559198a9e474033433b2958dabc135ab6446,14465585
uniswap,4,zora,0x0575338e4c17006ae181b47900a84404247ca30f,25523641
uniswap,4,worldchain,0xb1860d529182ac3bc1f51fa2abd56662b7d13f33,9125449
uniswap,4,avalanche_c,0x06380c0e0912312b5150364b9dc4542ba0dbbc85,56211242
uniswap,4,bnb,0x28e2ea090877bf75740558f6bfb36a5ffee9e9df,46001486
uniswap,4,celo,0x288dc841a52fca2707c6947b3a777c5e56cd87bc,48818694
uniswap,4,monad,0x188d586ddcf52439676ca21a244753fa19f9ea8e,30255261
uniswap,4,megaeth,0xacb7e78fa05d562e0a5d3089ec896d57d057d38e,8097067
sushiswap,2,arbitrum,0xc35dadb65012ec5796536bd9864ed8773abc74c4,70
sushiswap,2,arbitrum_nova,0xc35dadb65012ec5796536bd9864ed8773abc74c4,721
sushiswap,2,avalanche_c,0xc35dadb65012ec5796536bd9864ed8773abc74c4,506190
sushiswap,2,base,0x71524b4f93c58fcbf659783284e38825f0622859,2631214
sushiswap,2,blast,0x42fa929fc636e657ac568c0b5cf38e203b67ac2b,285621
sushiswap,2,boba,0xc35dadb65012ec5796536bd9864ed8773abc74c4,822561
sushiswap,2,boba_avax,0xc35dadb65012ec5796536bd9864ed8773abc74c4,3566
sushiswap,2,boba_bnb,0xc35dadb65012ec5796536bd9864ed8773abc74c4,3292
sushiswap,2,bnb,0xc35dadb65012ec5796536bd9864ed8773abc74c4,5205069
sushiswap,2,bttc,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,28215551
sushiswap,2,celo,0xc35dadb65012ec5796536bd9864ed8773abc74c4,7253488
sushiswap,2,core,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,8051339
sushiswap,2,ethereum,0xc0aee478e3658e2610c5f7a4a2e1777ce9e4f2ac,10794229
sushiswap,2,fantom,0xc35dadb65012ec5796536bd9864ed8773abc74c4,2457879
sushiswap,2,filecoin,0x9b3336186a38e1b6c21955d112dbb0343ee061ee,3328632
sushiswap,2,fuse,0x43ea90e2b786728520e4f930d2a71a477bf2737c,12943543
sushiswap,2,haqq,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,8673596
sushiswap,2,harmony,0xc35dadb65012ec5796536bd9864ed8773abc74c4,11256061
sushiswap,2,heco,0xc35dadb65012ec5796536bd9864ed8773abc74c4,2765001
sushiswap,2,hemi,0x9b3336186a38e1b6c21995d112dbb0343ee061ee,452730
sushiswap,2,kava,0xd408a20f1213286fb3158a2bfbf5bffaca8bf269,6891276
sushiswap,2,linea,0xfbc12984689e5f15626bad03ad60160fe98b303c,631714
sushiswap,2,polygon,0xc35dadb65012ec5796536bd9864ed8773abc74c4,11333218
sushiswap,2,metis,0x580ed43f3bba06555785c81c2957efcca71f7483,8940434
sushiswap,2,moonbeam,0xc35dadb65012ec5796536bd9864ed8773abc74c4,503713
sushiswap,2,moonriver,0xc35dadb65012ec5796536bd9864ed8773abc74c4,428426
sushiswap,2,okex,0xc35dadb65012ec5796536bd9864ed8773abc74c4,2678488
sushiswap,2,optimism,0xfbc12984689e5f15626bad03ad60160fe98b303c,110882086
sushiswap,2,palm,0xc35dadb65012ec5796536bd9864ed8773abc74c4,902496
sushiswap,2,zkevm,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,6312213
sushiswap,2,rootstock,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,6365043
sushiswap,2,scroll,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,81841
sushiswap,2,skale,0x1aaf6eb4f85f8775400c1b10e6bbbd98b2ff8483,5124080
sushiswap,2,sonic,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,347155
sushiswap,2,telos,0xc35dadb65012ec5796536bd9864ed8773abc74c4,182595783
sushiswap,2,thundercore,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,145330791
sushiswap,2,gnosis,0xc35dadb65012ec5796536bd9864ed8773abc74c4,14735904
sushiswap,2,zetachain,0x33d91116e0370970444b0281ab117e161febfcdd,1552091
sushiswap,3,arbitrum,0x1af415a1eba07a4986a52b6f2e7de7003d82231e,75998697
sushiswap,3,arbitrum_nova,0xaa26771d497814e81d305c511efbb3ced90bf5bd,4242300
sushiswap,3,avalanche_c,0x3e603c14af37ebdad31709c4f848fc6ad5bec715,28186391
sushiswap,3,base,0xc35dadb65012ec5796536bd9864ed8773abc74c4,1759510
sushiswap,3,blast,0x7680d4b43f3d1d54d6cfeeb2169463bfa7a6cf0d,284122
sushiswap,3,boba,0x0be808376ecb75a5cf9bb6d237d16cd37893d904,998556
sushiswap,3,bnb,0x126555dd55a39328f69400d6ae4f782bd4c34abb,26976538
sushiswap,3,bttc,0xbbde1d67297329148fe1ed5e6b00114842728e65,19975843
sushiswap,3,celo,0x93395129bd3fcf49d95730d3c2737c17990ff328,18540094
sushiswap,3,core,0xc35dadb65012ec5796536bd9864ed8773abc74c4,5211850
sushiswap,3,ethereum,0xbaceb8ec6b9355dfc0269c18bac9d6e2bdc29c4f,16955547
sushiswap,3,fantom,0x7770978eed668a3ba661d51a773d3a992fc9ddcb,58860670
sushiswap,3,filecoin,0xc35dadb65012ec5796536bd9864ed8773abc74c4,2867560
sushiswap,3,fuse,0x1b9d177ccdea3c79b6c8f40761fc8dc9d0500eaa,22556035
sushiswap,3,gnosis,0xf78031cbca409f2fb6876bdfdbc1b2df24cf9bef,27232871
sushiswap,3,haqq,0xc35dadb65012ec5796536bd9864ed8773abc74c4,6541826
sushiswap,3,hemi,0xcdbcd51a5e8728e0af4895ce5771b7d17ff71959,507517
sushiswap,3,katana,0x203e8740894c8955cb8950759876d7e7e45e04c1,1858972
sushiswap,3,kava,0x1e9b24073183d5c6b7ae5fb4b8f0b1dd83fdc77a,4214966
sushiswap,3,linea,0xc35dadb65012ec5796536bd9864ed8773abc74c4,53256
sushiswap,3,metis,0x145d82bca93cca2ae057d1c6f26245d1b9522e6f,5220532
sushiswap,3,moonbeam,0x2ecd58f51819e8f8ba08a650bea04fc0dea1d523,3264275
sushiswap,3,moonriver,0x2f255d3f3c0a3726c6c99e74566c4b18e36e3ce6,3945310
sushiswap,3,optimism,0x9c6522117e2ed1fe5bdb72bb0ed5e3f2bde7dbe0,85432013
sushiswap,3,polygon,0x917933899c6a5f8e37f31e19f92cdbff7e8ff0e2,41024971
sushiswap,3,zkevm,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,80860
sushiswap,3,rootstock,0x46b3fdf7b5cde91ac049936bf0bdb12c5d22202e,6365060
sushiswap,3,scroll,0x46b3fdf7b5cde91ac049936bf0bdb12c5d22202e,82522
sushiswap,3,skale,0x51d15889b66a2c919dbbd624d53b47a9e8fec4bb,5124251
sushiswap,3,sonic,0x46b3fdf7b5cde91ac049936bf0bdb12c5d22202e,347590
sushiswap,3,thundercore,0xc35dadb65012ec5796536bd9864ed8773abc74c4,132536332
sushiswap,3,zetachain,0xb45e53277a7e0f1d35f2a77160e91e25507f1763,1551069
pancakeswap,2,bnb,0xca143ce32fe78f1f7019d7d551a6402fc5350c73,6810423
pancakeswap,2,ethereum,0x1097053fd2ea711dad45caccc45eff7548fcb362,15623381
pancakeswap,2,zksync,0xd03d8d566183f0086d8d09a84e1e30b58dd5619d,8725632
pancakeswap,2,zkevm,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e,1729938
pancakeswap,2,arbitrum,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e,120027762
pancakeswap,2,linea,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e,267546
pancakeswap,2,base,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e,3350015
pancakeswap,2,opbnb,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e,3352824
pancakeswap,2,monad,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e,25796484
pancakeswap,3,bnb,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,26957718
pancakeswap,3,ethereum,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,16951168
pancakeswap,3,zksync,0x1bb72e0cbbea93c08f535fc7856e0338d7f7a8ab,8723160
pancakeswap,3,zkevm,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,750668
pancakeswap,3,arbitrum,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,101036145
pancakeswap,3,linea,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,1468
pancakeswap,3,base,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,2916988
pancakeswap,3,opbnb,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,1732543
pancakeswap,3,monad,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,25819360
gammaswap,deltaswap,ethereum,0x5fbe219e88f6c6f214ce6f5b1fcaa0294f31ae1b,20142898
gammaswap,deltaswap,arbitrum,0xcb85e1222f715a81b8edaeb73b28182fa37cffa8,173467894
gammaswap,deltaswap,base,0x9a9a171c69cc811dc6b59bb2f9990e34a22fc971,14457345
camelot,2,arbitrum,0x6eccab422d763ac031210895c81787e87b43a652,35061163
camelot,3,arbitrum,0x1a3c9b1d2f0529d97f2afc5136cc23e58f1fd35b,101163738
curve,stableswap_ng,ethereum,0x6a8cbed756804b16e05e741edabd5cb544ae21bf,18427841
curve,stableswap_ng,polygon,0x1764ee18e8b3cca4787249ceb249356192594585,50625140
curve,stableswap_ng,fantom,0xe61fb97ef6ebfba12b36ffd7be785c1f5a2de66b,72534264
curve,stableswap_ng,avalanche_c,0x1764ee18e8b3cca4787249ceb249356192594585,38813389
curve,stableswap_ng,arbitrum,0x9af14d26075f142eb3f292d5065eb3faa646167b,161986628
curve,stableswap_ng,optimism,0x5eee3091f747e60a045a2e715a4c71e600e31f6e,113744803
curve,stableswap_ng,gnosis,0xbc0797015fcfc47d9c1856639cae50d0e69fbee8,30508168
curve,stableswap_ng,celo,0x1764ee18e8b3cca4787249ceb249356192594585,24159876
curve,stableswap_ng,zksync,0xfcab5d04e8e031334d5e8d2c166b08dab0be6cae,41814492
curve,stableswap_ng,base,0xd2002373543ce3527023c75e7518c274a51ce712,7886150
curve,stableswap_ng,mantle,0x5eee3091f747e60a045a2e715a4c71e600e31f6e,66300283
curve,stableswap_ng,kava,0x1764ee18e8b3cca4787249ceb249356192594585,
curve,stableswap_ng,fraxtal,0xd2002373543ce3527023c75e7518c274a51ce712,41814492
curve,twocrypto_ng,ethereum,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,19379915
curve,twocrypto_ng,polygon,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,54112723
curve,twocrypto_ng,fantom,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,77978455
curve,twocrypto_ng,avalanche_c,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,39525620
curve,twocrypto_ng,arbitrum,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,170353220
curve,twocrypto_ng,optimism,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,116821340
curve,twocrypto_ng,gnosis,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,32699751
curve,twocrypto_ng,celo,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,24649549
curve,twocrypto_ng,zksync,0xf3a546af64afd6bb8292746ba66db33afae72114,41818032
curve,twocrypto_ng,base,0xc9fe0c63af9a39402e8a5514f9c43af0322b665f,11290497
curve,twocrypto_ng,bnb,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,36737133
curve,twocrypto_ng,fraxtal,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,513509
curve,twocrypto_ng,mantle,0x98ee851a00abee0d95d08cf4ca2bdce32aeaaf7f,72840206
curve,tricrypto_ng,ethereum,0x0c0e5f2ff0ff18a3be9b835635039256dc4b4963,17371455
curve,tricrypto_ng,polygon,0xc1b393efef38140662b91441c6710aa704973228,55965919
curve,tricrypto_ng,fantom,0x9af14d26075f142eb3f292d5065eb3faa646167b,119023773
curve,tricrypto_ng,avalanche_c,0x3d6cb2f6dcf47cdd9c13e4e3beae9af041d8796a,67007721
curve,tricrypto_ng,arbitrum,0xbc0797015fcfc47d9c1856639cae50d0e69fbee8,99388928
curve,tricrypto_ng,optimism,0xc6c09471ee39c7e30a067952fcc89c8922f9ab53,118124783
curve,tricrypto_ng,gnosis,0xb47988ad49dce8d909c6f9cf7b26caf04e1445c8,31957609
curve,tricrypto_ng,kava,0x3d6cb2f6dcf47cdd9c13e4e3beae9af041d8796a,
curve,tricrypto_ng,celo,0x3d6cb2f6dcf47cdd9c13e4e3beae9af041d8796a,23530643
curve,tricrypto_ng,zksync,0x5d4174c40f1246dabe49693845442927d5929f0d,41829139
curve,tricrypto_ng,base,0xa5961898870943c68037f6848d2d866ed2016bcb,3194266
curve,tricrypto_ng,bnb,0xc55837710bc500f1e3c7bb9dd1d51f7c5647e657,41392921
curve,tricrypto_ng,fraxtal,0xc9fe0c63af9a39402e8a5514f9c43af0322b665f,514366
curve,tricrypto_ng,mantle,0x0c9d8c7e486e822c29488ff51bff0167b4650953,47571959
curve,stableswap_legacy,ethereum,0xb9fc157394af804a3578134a6585c0dc9cc990d4,12913531
curve,stableswap_legacy,arbitrum,0xb17b674d9c5cb2e441f8e196a2f048a81355d031,1428272
curve,stableswap_legacy,avalanche_c,0xb17b674d9c5cb2e441f8e196a2f048a81355d031,6635966
curve,stableswap_legacy,optimism,0x2db0e83599a91b508ac268a6197b8b14f5e72840,3497121
curve,stableswap_legacy,polygon,0x722272d36ef0da72ff51c5a65db7b870e2e8d4ee,20093387
curve,stableswap_legacy,gnosis,0xd19baeadc667cf2015e395f2b08668ef120f41f5,21366595
curve,stableswap_legacy,fantom,0x686d67265703d1f124c45e33d47d794c566889ba,17081767
balancer,2,ethereum,0xba12222222228d8ba445958a75a0704d566bf2c8,10635457
balancer,2,arbitrum,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,polygon,0xba12222222228d8ba445958a75a0704d566bf2c8,15832990
balancer,2,optimism,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,gnosis,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,avalanche_c,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,bnb,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,base,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,zkevm,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,2,fraxtal,0xba12222222228d8ba445958a75a0704d566bf2c8,
balancer,3,ethereum,0xba1333333333a1ba1108e8412f11850a5c319ba9,21336938
balancer,3,gnosis,0xba1333333333a1ba1108e8412f11850a5c319ba9,37371696
balancer,3,arbitrum,0xba1333333333a1ba1108e8412f11850a5c319ba9,297829457
balancer,3,base,0xba1333333333a1ba1108e8412f11850a5c319ba9,25347332
balancer,3,optimism,0xba1333333333a1ba1108e8412f11850a5c319ba9,133969652
balancer,3,avalanche_c,0xba1333333333a1ba1108e8412f11850a5c319ba9,59965831
uniswap,3,xlayer,0x4b2ab38dbf28d31d467aa8993f6c2585981d6804,0
uniswap,3,tempo,0x24a3d4757e330890a8b8978028c9e58e04611fd6,0
aerodrome,2,base,0x420dd381b31aef6683db6b902084cb0ffece40da,
aerodrome,slipstream,base,0x5e7bb104d84c7cb9b682aac2f3d509f5f406809a,
aerodrome,slipstream,base,0xade65c38cd4849adba595a4323a8c7ddfe89716a,
aerodrome,slipstream,base,0xf8f2eb4940cfe7d13603dddd87f123820fc061ef,
curve,crypto_factory,ethereum,0xF18056Bbd320E96A48e3Fbf8bC061322531aac99,14005321
curve,crypto_factory,polygon,0xE5De15A9C9bBedb4F5EC13B131E61245f2983A69,26192231
curve,crypto_factory,base,0x5EF72230578b3e399E6C6F4F6360edF95e83BBfd,2368721                                                                    
curve,crypto_factory,bnb,0xBd5fBd2FA58cB15228a9Abdac9ec994f79E3483C,32758050
curve,crvusd_factory,ethereum,0x4F8846Ae9380B90d2E71D5e3D042dff3E7ebb40d,17257971
